ma,ten,ten_eg
206097,(TN) Phương pháp dạy học Sinh học,                              
849416,Chuyên đề tốt nghiệp kỹ thuật điện 1,
309006,PP luận nghiên cứu văn học,                              
810417,Những cuộc cải cách và tư tưởng canh tân trong lịch sử Việt Nam (đầu thế kỉ X- đầu TK XX),
819109,PP hướng dẫn trẻ MN làm quen với môi trường xung quanh,                              
810069,Hướng dẫn dạy khóa trình lịch sử ở trường THPT,                              
316098,(TN) Thanh nhạc - Nhạc cụ,                              
839082,ấn phẩm định kì,                              
708063,Thủ công - hoa trang trí,                              
838075,Kinh tế vi mô,                              
240015,Quản trị hành chính văn phòng,                              
809051,Văn học Việt Nam trung đại 1,                              
235004,Tâm lý học du lịch,                              
803409,Hóa dầu,
210027,"Các nước á, Phi, Mỹ La Tinh thời hiện đại",                              
802311,Thực hành sư phạm THCS2,
802413,Tổ chức các hoạt động dạy học Vật lý theo hướng phát triển năng lực học sinh,
857506,Du lịch bền vững,
834355,Phương pháp nghiên cứu khoa học trong ngành môi trường,
741053,Xây dựng phần mềm hướng đối tượng,                              
846067,"Công tác Đảng, Đoàn thể trong nhà trường",                              
832308,Excel trong phân tích kinh doanh,
819111,Tổ chức môi trường GD cho trẻ MN,                              
817304,Trang trí 4,
210024,LSVN từ 1858 đến 1919,                              
801065,Lý thuyết vành giao hoán,                              
210007,LS Việt nam từ nguồn gốc đến thế kỉ X,                              
834223,Kiểm soát ô nhiễm nước,                              
834408,Năng lượng tái tạo,
846055,Phát triển ch/trình đào tạo,                              
809032,Thi pháp học,                              
734009,Mạng lưới cấp nước,                              
815050,Tiếng Việt 1,                              
852303,Dịch vụ mạng máy tính và truyền  số liệu nâng cao,
817027,Nghiên cứu chất liệu,                              
338033,Tiếng Anh trong thương mại du lịch 2,                              
819090,Tổ chức hoạt động Âm nhạc (nâng cao),                              
820023,Chính trị học,                              
846051,Đại cương về Quản lý & Q/lý GD,                              
813407,Nghe - Nói 4,
813061,Phát triển kỹ năng nói 3,                              
819030,Tâm lí học nhân cách,                              
806081,Thực hành sư phạm 1,                              
850021,Điện tử số,                              
850371,"Chuyên đề điện, điện tử",
816419,Nhạc cụ 2,
850028,Đồ án 1,                              
331036,Pháp luật đại cương,                              
853020,Tâm lí học lệch chuẩn,
311017,PPDH Địa lý ở trường THPT,                              
842099,Khóa luận tốt nghiệp (DTN),                              
834434,Đồ án PP oxy hóa nâng cao trong xử lý nước thải,
802108,Phân tích chương trình vật lý THPT 1,                              
236037,Văn bản và lưu trữ học đại cương,                              
206023,Sinh thái học,                              
734105,Kỹ thuật Điện - Nhiệt,                              
843413,Kỹ thuật soạn thảo văn bản,
847013,Nghệ thuật nói trước công chúng 2,                              
H42027,Thẩm định tín dụng,                              
817405,Nghiên cứu chất liệu,
317012,Sáng tác 2,                              
H32097,(TN) Kế toán tài chính,                              
810175,Lich sử nhà nước và pháp luật VN,                              
320005,Tôn giáo học,                              
707071,Bệnh vật nuôi,                              
816104,Múa 3,                              
317007,Kí họa thực tế 1,                              
809081,Chuyên đề văn học Châu á,                              
846406,Phương pháp nghiên cứu khoa học quản lý giáo dục,
821407,Động vật học,
853016,Tâm lí học pháp luật,
848399,Khóa luận tốt nghiệp (DTU),
846001,Dân tộc học,                              
865508,Thống kê trong Khoa học xã hội,
209008,Lí luận văn học 2,                              
815062,PPDH Tiếng Việt 1,                              
846316,Quản lí nhân sự trong cơ sở giáo dục,
850310,Thiết kế vi mạch số,
212020,GD hệ thống giá trị đạo đức nhân văn,                              
838024,Văn hóa Anh,                              
H42021,Hệ thống thông tin Tài chính - Ngân hàng 1,                              
736130,Thực tập Nghiệp vụ hành chính VP,                              
850011,Hóa học đại cương,                              
238096,(TN) Tiếng Anh tổng hợp,                              
236025,Lưu trữ tài liệu nghe nhìn và điện tử,                              
811086,Con người và môi trường,                              
843055,Luật Tố tụng hành chính,                              
