ma,ten
DTN1226,ĐH chính quy - ngành Tài chính - Ngân hàng - K.22 - Lớp 6
DTN1225,ĐH chính quy - ngành Tài chính - Ngân hàng - K.22 - Lớp 5
DTN1224,ĐH chính quy - ngành Tài chính - Ngân hàng - K.22 - Lớp 4
DQK1244,ĐH chính quy - ngành Quản trị kinh doanh - K.24 - Lớp 4
DDI1221,ĐH chính quy - ngành SP Địa lý - K.22 - Lớp 1
DTN1213,ĐH chính quy - ngành Tài chính - Ngân hàng - K.21 - Lớp 3
DKE1244,ĐH chính quy - ngành Kế toán - K.24 - Lớp 4
DNH1211,ĐH chính quy - ngành SP Âm nhạc - K.21 - Lớp 1
DLI1231,ĐH chính quy - ngành SP Vật lí - K.23 - Lớp 1
DHA1231,ĐH chính quy - ngành QT nhà hàng và dịch vụ ăn uống - K.23 - Lớp 1
DKH1211,ĐH chính quy - ngành SP Khoa học tự nhiên - K.21 - Lớp 1
DQV1241,ĐH chính quy - ngành Quản trị văn phòng - K.24 - Lớp 1
DLD1211,ĐH chính quy - ngành SP Lịch sử - Địa lý - K.21 - Lớp 1
DTN1244,ĐH chính quy - ngành Tài chính - Ngân hàng - K.24 - Lớp 4
DKQ1212,ĐH chính quy - ngành Kinh doanh quốc tế - K.21 - Lớp 2
DTU1241,ĐH chính quy - ngành Toán ứng dụng - K.24 - Lớp 1
DQK1243,ĐH chính quy - ngành Quản trị kinh doanh - K.24 - Lớp 3
DCT1214,ĐH chính quy - ngành Công nghệ thông tin - K.21 - Lớp 4
DKP1212,ĐH chính quy - ngành Kỹ thuật phần mềm - K.21 - Lớp 2
DVA1221,ĐH chính quy - ngành SP Ngữ văn - K.22 - Lớp 1
DQK1216,ĐH chính quy - ngành Quản trị kinh doanh - K.21 - Lớp 6
DKE1233,ĐH chính quy - ngành Kế toán - K.23 - Lớp 3
DDI1211,ĐH chính quy - ngành SP Địa lý - K.21 - Lớp 1
DQK1214,ĐH chính quy - ngành Quản trị kinh doanh - K.21 - Lớp 4
DQK1245,ĐH chính quy - ngành Quản trị kinh doanh - K.24 - Lớp 5
DVA1211,ĐH chính quy - ngành SP Ngữ văn - K.21 - Lớp 1
DAN1211,ĐH chính quy - ngành Ngôn ngữ Anh - K.21 - Lớp 1
DHO1211,ĐH chính quy - ngành SP Hóa - K.21 - Lớp 1
DNA1211,ĐH chính quy - ngành Thanh nhạc - K.21 - Lớp 1
DKM1211,ĐH chính quy - ngành Khoa học môi trường - K.21 - Lớp 1
DQK1242,ĐH chính quy - ngành Quản trị kinh doanh - K.24 - Lớp 2
DQG1211,ĐH chính quy - ngành Quản lý Giáo dục - K.21 - Lớp 1
*,Lớp chung
