ma,ten,ten_eg
834341,Nguyên lí và vận hành hệ thống xử lí nước và nước thải,
809103,Tiến trình văn học,                              
836513,Tổ chức sự kiện,
865004,Mĩ học,                              
820432,Chuyên đề Triết học,
817051,PP dạy học Mỹ thuật 1,                              
820344,Kinh tế chính trị Mác - Lênin (GDCT),
811055,Địa lý tự nhiên các lục địa 1,                              
853403,Tâm lí học nhân sự,
803106,Hóa phân tích 2,                              
811409,Thực tế chuyên môn 1,
853418,Kỹ năng phát triển cộng đồng,
809452,Thực hành sư phạm 2,
857406,Thực tế chuyên môn 1,
811414,Những vấn đề về dạy học địa lí ở THPT,
834315,Luật và chính sách môi trường,
843408,Luật Hôn nhân và gia đình ,
801503,Giải tích hàm biến thực II,
848416,Khai thác dữ liệu,
820405,Kỹ năng soạn thảo văn bản hành chính,
810420,Lí luận dạy học Lịch sử,
833312,Tâm lý học quản trị kinh doanh,
835403,Quản trị kinh doanh lữ hành,
853040,Thực tế chuyên môn,
